rna_id	rna_type	rna_subtype
73482	Viral RNA	HIV_FE
96486	Group II intron	group-II-D1D4-4
96487	Group II intron	group-II-D1D4-4
96484	Group II intron	group-II-D1D4-4
96485	Group II intron	group-II-D1D4-4
96482	Group II intron	group-II-D1D4-4
96483	Group II intron	group-II-D1D4-4
96480	Group II intron	group-II-D1D4-4
96481	Group II intron	group-II-D1D4-4
96488	Group II intron	group-II-D1D4-4
96489	Group II intron	group-II-D1D4-4
16327	5S	5S
16326	5S	5S
16325	5S	5S
16324	5S	5S
16323	5S	5S
16322	5S	5S
16321	5S	5S
16320	5S	5S
71503	Viral RNA	Entero_5_CRE
16329	5S	5S
16328	5S	5S
61840	CsrB/RsmB RNA family	CsrB
61841	CsrB/RsmB RNA family	CsrB
61842	CsrB/RsmB RNA family	CsrB
61843	CsrB/RsmB RNA family	CsrB
61844	CsrB/RsmB RNA family	CsrB
61845	CsrB/RsmB RNA family	CsrB
61846	CsrB/RsmB RNA family	CsrB
61847	CsrB/RsmB RNA family	CsrB
61848	CsrB/RsmB RNA family	CsrB
61849	CsrB/RsmB RNA family	CsrB
52082	tRNA	tRNA
52083	tRNA	tRNA
52080	tRNA	tRNA
52081	tRNA	tRNA
52086	tRNA	tRNA
52087	tRNA	tRNA
52084	tRNA	tRNA
52085	tRNA	tRNA
52088	tRNA	tRNA
52089	tRNA	tRNA
101079	Viral RNA	Virus_CITE_8
69668	snoRNA	SNORA64
69669	snoRNA	SNORA69
69664	snoRNA	SNORA64
69665	snoRNA	SNORA64
69666	snoRNA	SNORA64
81597	mini-ykkC RNA motif	mini-ykkC
69660	snoRNA	SNORA64
69661	snoRNA	SNORA64
69662	snoRNA	SNORA64
69663	snoRNA	SNORA64
21237	tRNA	tRNA
21236	tRNA	tRNA
21235	tRNA	tRNA
21234	tRNA	tRNA
21233	tRNA	tRNA
21232	tRNA	tRNA
21231	tRNA	tRNA
21230	tRNA	tRNA
21239	tRNA	tRNA
21238	tRNA	tRNA
1876	16S	16S
1877	16S	16S
1874	16S	16S
1875	16S	16S
1872	16S	16S
1873	16S	16S
1870	16S	16S
1871	16S	16S
1878	16S	16S
1879	16S	16S
57104	snoRNA	srpRNA
57105	snoRNA	srpRNA
57106	snoRNA	srpRNA
57107	snoRNA	srpRNA
57100	snoRNA	srpRNA
57101	snoRNA	srpRNA
57102	snoRNA	srpRNA
57103	snoRNA	srpRNA
90884	glnA RNA	glnA
90885	glnA RNA	glnA
90886	glnA RNA	glnA
90887	glnA RNA	glnA
57108	snoRNA	srpRNA
57109	snoRNA	srpRNA
90882	glnA RNA	glnA
90883	glnA RNA	glnA
52626	tRNA	tRNA
17057	16S	16S
52624	tRNA	tRNA
52625	tRNA	tRNA
52622	tRNA	tRNA
52623	tRNA	tRNA
52620	tRNA	tRNA
52621	tRNA	tRNA
52628	tRNA	tRNA
52629	tRNA	tRNA
60713	RNA Fragment	RNaseP_nuc
60712	RNA Fragment	RNaseP_nuc
60711	RNA Fragment	RNaseP_nuc
60710	RNA Fragment	RNaseP_nuc
60717	RNA Fragment	RNaseP_nuc
60716	RNA Fragment	RNaseP_nuc
60715	RNA Fragment	RNaseP_nuc
60714	RNA Fragment	RNaseP_nuc
94642	Signal Recognition Particle RNA	Bacteria_large_SRP
94643	Signal Recognition Particle RNA	Bacteria_large_SRP
60719	RNA Fragment	RNaseP_nuc
60718	RNA Fragment	RNaseP_nuc
94646	Signal Recognition Particle RNA	Bacteria_large_SRP
94647	Signal Recognition Particle RNA	Bacteria_large_SRP
94644	Signal Recognition Particle RNA	Bacteria_large_SRP
94645	Signal Recognition Particle RNA	Bacteria_large_SRP
36938	tRNA	tRNA
36939	tRNA	tRNA
36930	tRNA	tRNA
36931	tRNA	tRNA
36932	tRNA	tRNA
36933	tRNA	tRNA
36934	tRNA	tRNA
36935	tRNA	tRNA
36936	tRNA	tRNA
36937	tRNA	tRNA
54668	Group II intron	Group II Intro or  Group II Introns
54669	Group II intron	Group II Intro or  Group II Introns
54664	Group II intron	Group II Intro or  Group II Introns
54665	Group II intron	Group II Intro or  Group II Introns
54666	Group II intron	Group II Intro or  Group II Introns
54667	Group II intron	Group II Intro or  Group II Introns
54660	Group II intron	Group II Intro or  Group II Introns
54661	Group II intron	Group II Intro or  Group II Introns
54662	Group II intron	Group II Intro or  Group II Introns
54663	Group II intron	Group II Intro or  Group II Introns
62719	Telomerase RNA	Telomerase-cil
20547	16S	16S
20544	16S	16S
20545	16S	16S
20542	16S	16S
20543	16S	16S
20540	16S	16S
20541	16S	16S
62711	Telomerase RNA	Telomerase-vert
62710	Telomerase RNA	Telomerase-vert
62713	Telomerase RNA	Telomerase-vert
62712	Telomerase RNA	Telomerase-vert
62715	Telomerase RNA	Telomerase-vert
62714	Telomerase RNA	Telomerase-vert
62717	Telomerase RNA	Telomerase-vert
62716	Telomerase RNA	Telomerase-vert
100193	snoRNA	snoR145
92667	wcaG RNA	wcaG
100191	snoRNA	snoR145
100190	snoRNA	snoR145
100197	ncRNA	rli60
92663	wcaG RNA	wcaG
100195	ncRNA	rli60
92661	traJ-II RNA	traJ-II
101790	RNA Fragment	5'-R(*GP*GP*AP*GP*GP*CP*GP*CP*UP*AP*CP*GP*GP*CP*GP*AP*GP*GP*CP*UP*CP*CP*A)-3'
95115	miRNA	MIR1428
95114	miRNA	MIR1428
95117	miRNA	mir-981
95116	miRNA	MIR1428
95111	miRNA	mir-2774
77904	miRNA	mir-302
67299	Signal Recognition Particle RNA	Bacteria_small_SRP
67298	Signal Recognition Particle RNA	Bacteria_small_SRP
67297	Signal Recognition Particle RNA	Bacteria_small_SRP
67296	Signal Recognition Particle RNA	Bacteria_small_SRP
67295	Signal Recognition Particle RNA	Bacteria_small_SRP
67294	Signal Recognition Particle RNA	Bacteria_small_SRP
67293	Signal Recognition Particle RNA	Bacteria_small_SRP
67292	Signal Recognition Particle RNA	Bacteria_small_SRP
67291	Signal Recognition Particle RNA	Bacteria_small_SRP
67290	Signal Recognition Particle RNA	Bacteria_small_SRP
101791	Ribozyme	A mimic of the VS Ribozyme Hairpin Substrate
39564	tRNA	tRNA
39565	tRNA	tRNA
72149	snoRNA	SNORA21
72148	snoRNA	SNORA21
72145	snoRNA	SNORA9
72144	snoRNA	SNORA9
72147	snoRNA	SNORA21
72146	snoRNA	SNORA9
72141	snoRNA	SNORA9
72140	snoRNA	SNORA9
72143	snoRNA	SNORA9
72142	snoRNA	SNORA9
34398	tRNA	tRNA
34399	tRNA	tRNA
34392	tRNA	tRNA
34393	tRNA	tRNA
34390	tRNA	tRNA
34391	tRNA	tRNA
34396	tRNA	tRNA
34397	tRNA	tRNA
34394	tRNA	tRNA
34395	tRNA	tRNA
73818	snoRNA	SCARNA17
73819	snoRNA	SCARNA17
29699	tRNA	tRNA
29698	tRNA	tRNA
18085	5S	5S
73810	S-element	S-element
73811	S-element	S-element
73812	S-element	S-element
73813	S-element	S-element
73814	S-element	S-element
73815	S-element	S-element
73816	S-element	S-element
29692	tRNA	tRNA
78100	miRNA	mir-210
78798	miRNA	mir-448
78799	miRNA	mir-448
78796	miRNA	mir-448
78797	miRNA	mir-448
78794	miRNA	mir-448
78795	miRNA	mir-448
78792	miRNA	mir-451
78793	miRNA	mir-451
78790	miRNA	mir-451
78791	miRNA	mir-451
79449	miRNA	MIR480
79448	miRNA	MIR480
78105	miRNA	mir-210
79441	miRNA	MIR480
79440	miRNA	MIR480
79443	miRNA	MIR480
79442	miRNA	MIR480
79445	miRNA	MIR480
79444	miRNA	MIR480
79447	miRNA	MIR480
79446	miRNA	MIR480
67873	Ribosomal RNA	SSU_rRNA_bacteria
67872	Ribosomal RNA	SSU_rRNA_bacteria
67871	Ribosomal RNA	SSU_rRNA_bacteria
67870	Ribosomal RNA	SSU_rRNA_bacteria
67877	Ribosomal RNA	SSU_rRNA_bacteria
67876	Ribosomal RNA	SSU_rRNA_bacteria
67875	Ribosomal RNA	SSU_rRNA_bacteria
67874	Ribosomal RNA	SSU_rRNA_bacteria
67879	Ribosomal RNA	SSU_rRNA_bacteria
67878	Ribosomal RNA	SSU_rRNA_bacteria
92389	psbNH RNA	psbNH
33162	tRNA	tRNA
33163	tRNA	tRNA
92388	psbNH RNA	psbNH
61439	6S / SsrS RNA	6S
61438	6S / SsrS RNA	6S
61431	6S / SsrS RNA	6S
61430	6S / SsrS RNA	6S
61433	6S / SsrS RNA	6S
61432	6S / SsrS RNA	6S
61435	6S / SsrS RNA	6S
61434	6S / SsrS RNA	6S
61437	6S / SsrS RNA	6S
61436	6S / SsrS RNA	6S
34051	tRNA	tRNA
34050	tRNA	tRNA
28128	tRNA	tRNA
28129	tRNA	tRNA
28124	tRNA	tRNA
28125	tRNA	tRNA
28126	tRNA	tRNA
28127	tRNA	tRNA
28120	tRNA	tRNA
28121	tRNA	tRNA
28122	tRNA	tRNA
28123	tRNA	tRNA
38932	tRNA	tRNA
38933	tRNA	tRNA
38930	tRNA	tRNA
38931	tRNA	tRNA
38936	tRNA	tRNA
38937	tRNA	tRNA
38934	tRNA	tRNA
38935	tRNA	tRNA
22786	tRNA	tRNA
22787	tRNA	tRNA
38938	tRNA	tRNA
22785	tRNA	tRNA
22782	tRNA	tRNA
22783	tRNA	tRNA
22780	tRNA	tRNA
22781	tRNA	tRNA
31870	tRNA	tRNA
31871	tRNA	tRNA
31872	tRNA	tRNA
31873	tRNA	tRNA
31874	tRNA	tRNA
31875	tRNA	tRNA
31876	tRNA	tRNA
31877	tRNA	tRNA
31878	tRNA	tRNA
31879	tRNA	tRNA
93517	Bacterial sRNA	fstAT
93516	Bacterial sRNA	fstAT
93515	Bacterial sRNA	fstAT
93514	Bacterial sRNA	fstAT
93513	Bacterial sRNA	fstAT
93512	Bacterial sRNA	fstAT
93511	Bacterial sRNA	fstAT
93510	Bacterial sRNA	fstAT
89726	Riboswitch	SAM-II_long_loops
101229	snoRNA	LSU_rRNA_archaea
93519	Bacterial sRNA	fstAT
93518	Bacterial sRNA	fstAT
27095	tRNA	tRNA
27094	tRNA	tRNA
27097	tRNA	tRNA
27096	tRNA	tRNA
27091	tRNA	tRNA
51749	tRNA	tRNA
27093	tRNA	tRNA
27092	tRNA	tRNA
51744	tRNA	tRNA
51745	tRNA	tRNA
51746	tRNA	tRNA
51747	tRNA	tRNA
51740	tRNA	tRNA
27098	tRNA	tRNA
51742	tRNA	tRNA
51743	tRNA	tRNA
89725	Riboswitch	SAM-II_long_loops
101550	Mitochondrion-encoded tmRNA	mt-tmRNA
85222	NoRC assoicated RNA, pRNA	pRNA
85223	NoRC assoicated RNA, pRNA	pRNA
85220	NoRC assoicated RNA, pRNA	pRNA
85221	NoRC assoicated RNA, pRNA	pRNA
85226	NoRC assoicated RNA, pRNA	pRNA
85227	NoRC assoicated RNA, pRNA	pRNA
85224	NoRC assoicated RNA, pRNA	pRNA
85225	NoRC assoicated RNA, pRNA	pRNA
85228	NoRC assoicated RNA, pRNA	pRNA
85229	NoRC assoicated RNA, pRNA	pRNA
25259	tRNA	tRNA
25258	tRNA	tRNA
31482	tRNA	tRNA
101552	Mitochondrion-encoded tmRNA	mt-tmRNA
25251	tRNA	tRNA
25250	tRNA	tRNA
25253	tRNA	tRNA
25252	tRNA	tRNA
25255	tRNA	tRNA
25254	tRNA	tRNA
25257	tRNA	tRNA
25256	tRNA	tRNA
74358	Riboswitch	SAM_alpha
74359	Riboswitch	SAM_alpha
74352	Riboswitch	SAM_alpha
74353	Riboswitch	SAM_alpha
74350	Riboswitch	SAM_alpha
74351	Riboswitch	SAM_alpha
74356	Riboswitch	SAM_alpha
74357	Riboswitch	SAM_alpha
74354	Riboswitch	SAM_alpha
74355	Riboswitch	SAM_alpha
87236	Cyano-1 RNA	Cyano-1
57897	tRNA	tRNA
84179	Bacterial sRNA	STnc490k
84178	Bacterial sRNA	STnc490k
84175	Bacterial sRNA	STnc490k
84174	Bacterial sRNA	STnc490k
84177	Bacterial sRNA	STnc490k
84176	Bacterial sRNA	STnc490k
84171	Bacterial sRNA	STnc490k
84170	Bacterial sRNA	STnc490k
84173	Bacterial sRNA	STnc490k
84172	Bacterial sRNA	STnc490k
70989	Viral RNA	HIV_PBS
70988	Viral RNA	HIV_PBS
70983	Viral RNA	HIV_PBS
70982	Viral RNA	HIV_PBS
70981	Viral RNA	HIV_PBS
70980	Viral RNA	HIV_PBS
70987	Viral RNA	HIV_PBS
70986	Viral RNA	HIV_PBS
70985	Viral RNA	HIV_PBS
70984	Viral RNA	HIV_PBS
37698	tRNA	tRNA
75005	snoRNA	snopsi28S-3316
75004	snoRNA	snopsi28S-3316
75007	internal ribosome entry site RNA	IRES_TrkB
75006	snoRNA	snopsi28S-3316
75001	snoRNA	snopsi28S-3316
75000	snoRNA	snopsi28S-3316
75003	snoRNA	snopsi28S-3316
75002	snoRNA	snopsi28S-3316
101557	Ribosomal RNA	SSU_trypano_mito
75009	internal ribosome entry site RNA	IRES_TrkB
75008	internal ribosome entry site RNA	IRES_TrkB
41442	tRNA	tRNA
41443	tRNA	tRNA
41440	tRNA	tRNA
41441	tRNA	tRNA
41446	tRNA	tRNA
41447	tRNA	tRNA
41444	tRNA	tRNA
41445	tRNA	tRNA
41448	tRNA	tRNA
41449	tRNA	tRNA
57892	tRNA	tRNA
768	16S	16S
769	16S	16S
40719	tRNA	tRNA
40718	tRNA	tRNA
40715	tRNA	tRNA
40714	tRNA	tRNA
760	16S	16S
40716	tRNA	tRNA
40711	tRNA	tRNA
40710	tRNA	tRNA
40713	tRNA	tRNA
765	16S	16S
57893	tRNA	tRNA
47848	tRNA	tRNA
47849	tRNA	tRNA
16820	5S	5S
88289	Flavo-1 RNA	Flavo-1
47840	tRNA	tRNA
47841	tRNA	tRNA
47842	tRNA	tRNA
47843	tRNA	tRNA
47844	tRNA	tRNA
47845	tRNA	tRNA
47846	tRNA	tRNA
47847	tRNA	tRNA
5409	16S	16S
33803	tRNA	tRNA
33802	tRNA	tRNA
33801	tRNA	tRNA
33800	tRNA	tRNA
33807	tRNA	tRNA
33806	tRNA	tRNA
33805	tRNA	tRNA
33804	tRNA	tRNA
18004	5S	5S
18005	5S	5S
33809	tRNA	tRNA
33808	tRNA	tRNA
18000	5S	5S
18001	5S	5S
18002	5S	5S
18003	5S	5S
76581	Spliceosomal RNA	U6atac
76580	Spliceosomal RNA	U6atac
76583	Spliceosomal RNA	U6atac
76582	Spliceosomal RNA	U6atac
76585	Spliceosomal RNA	U6atac
76584	Spliceosomal RNA	U6atac
76587	Spliceosomal RNA	U6atac
76586	Spliceosomal RNA	U6atac
76589	Spliceosomal RNA	U6atac
76588	Spliceosomal RNA	U6atac
94932	miRNA	mir-193
31409	tRNA	tRNA
31408	tRNA	tRNA
31401	tRNA	tRNA
31400	tRNA	tRNA
31403	tRNA	tRNA
31402	tRNA	tRNA
31405	tRNA	tRNA
31404	tRNA	tRNA
31407	tRNA	tRNA
31406	tRNA	tRNA
96924	Group II intron	group-II-D1D4-7
15186	16S	16S
15187	16S	16S
15184	16S	16S
15185	16S	16S
15182	16S	16S
15183	16S	16S
15180	16S	16S
15181	16S	16S
15188	16S	16S
15189	16S	16S
77	16S	16S
76	16S	16S
96194	Group II intron	group-II-D1D4-3
75	16S	16S
74	16S	16S
39258	tRNA	tRNA
39259	tRNA	tRNA
94936	miRNA	mir-193
39254	tRNA	tRNA
39255	tRNA	tRNA
39256	tRNA	tRNA
39257	tRNA	tRNA
39250	tRNA	tRNA
39251	tRNA	tRNA
39252	tRNA	tRNA
39253	tRNA	tRNA
71595	Viral RNA	Entero_5_CRE
70	16S	16S
42528	tRNA	tRNA
42529	tRNA	tRNA
12633	16S	16S
12632	16S	16S
12635	16S	16S
12634	16S	16S
12637	16S	16S
12636	16S	16S
42520	tRNA	tRNA
42521	tRNA	tRNA
42522	tRNA	tRNA
42523	tRNA	tRNA
42524	tRNA	tRNA
42525	tRNA	tRNA
42526	tRNA	tRNA
42527	tRNA	tRNA
84953	ncRNA	rli45
84952	ncRNA	rli45
84951	ncRNA	rli45
84950	ncRNA	rli42
84957	ncRNA	rliF
84956	ncRNA	rli45
84955	ncRNA	rli45
84954	ncRNA	rli45
84959	ncRNA	rliF
84958	ncRNA	rliF
81204	Riboswitch	MOCO_RNA_motif
81205	Riboswitch	MOCO_RNA_motif
81206	Riboswitch	MOCO_RNA_motif
81207	Riboswitch	MOCO_RNA_motif
81200	Riboswitch	MOCO_RNA_motif
81201	Riboswitch	MOCO_RNA_motif
81202	Riboswitch	MOCO_RNA_motif
81203	Riboswitch	MOCO_RNA_motif
94337	snoRNA	alpha_tmRNA
81208	Riboswitch	MOCO_RNA_motif
81209	Riboswitch	MOCO_RNA_motif
43439	tRNA	tRNA
43438	tRNA	tRNA
43435	tRNA	tRNA
43434	tRNA	tRNA
43437	tRNA	tRNA
43436	tRNA	tRNA
43431	tRNA	tRNA
43430	tRNA	tRNA
43433	tRNA	tRNA
43432	tRNA	tRNA
42388	tRNA	tRNA
42389	tRNA	tRNA
49659	tRNA	tRNA
49658	tRNA	tRNA
42384	tRNA	tRNA
42385	tRNA	tRNA
42386	tRNA	tRNA
49654	tRNA	tRNA
42380	tRNA	tRNA
42381	tRNA	tRNA
42382	tRNA	tRNA
42383	tRNA	tRNA
13580	16S	16S
13581	16S	16S
13582	16S	16S
13583	16S	16S
13584	16S	16S
13585	16S	16S
13586	16S	16S
13587	16S	16S
41873	tRNA	tRNA
41872	tRNA	tRNA
41871	tRNA	tRNA
41870	tRNA	tRNA
41877	tRNA	tRNA
41876	tRNA	tRNA
41875	tRNA	tRNA
41874	tRNA	tRNA
96926	Group II intron	group-II-D1D4-7
58129	RPRNA	RPRNA
58128	RPRNA	RPRNA
58127	RPRNA	RPRNA
58126	RPRNA	RPRNA
58125	RPRNA	RPRNA
58124	RPRNA	RPRNA
58123	RPRNA	RPRNA
58122	RPRNA	RPRNA
58121	RPRNA	RPRNA
58120	RPRNA	RPRNA
4776	16S	16S
4777	16S	16S
4774	16S	16S
4775	16S	16S
86256	AdoCbl variant RNA	AdoCbl-variant
86257	AdoCbl variant RNA	AdoCbl-variant
4770	16S	16S
52477	tRNA	tRNA
86255	AdoCbl variant RNA	AdoCbl-variant
57042	snoRNA	srpRNA
48528	tRNA	tRNA
48529	tRNA	tRNA
48526	tRNA	tRNA
48527	tRNA	tRNA
48524	tRNA	tRNA
48525	tRNA	tRNA
48522	tRNA	tRNA
48523	tRNA	tRNA
48520	tRNA	tRNA
48521	tRNA	tRNA
52476	tRNA	tRNA
40496	tRNA	tRNA
40497	tRNA	tRNA
77993	miRNA	mir-190
1799	16S	16S
1798	16S	16S
52475	tRNA	tRNA
1793	16S	16S
1792	16S	16S
1791	16S	16S
1790	16S	16S
1797	16S	16S
1796	16S	16S
1795	16S	16S
1794	16S	16S
96921	Group II intron	group-II-D1D4-7
40490	tRNA	tRNA
59658	tRNA	tRNA
59659	tRNA	tRNA
59656	tRNA	tRNA
59657	tRNA	tRNA
59654	tRNA	tRNA
59655	tRNA	tRNA
59652	tRNA	tRNA
59653	tRNA	tRNA
59650	tRNA	tRNA
59651	tRNA	tRNA
18013	5S	5S
70070	snoRNA	SNORND104
14571	16S	16S
33834	tRNA	tRNA
33835	tRNA	tRNA
33832	tRNA	tRNA
33833	tRNA	tRNA
94989	miRNA	mir-284
94988	miRNA	mir-2024
39454	tRNA	tRNA
33830	tRNA	tRNA
94981	miRNA	mir-2241
94980	miRNA	mir-2241
94983	miRNA	mir-2024
14577	16S	16S
94985	miRNA	mir-2024
94984	miRNA	mir-2024
94987	miRNA	mir-2024
94986	miRNA	mir-2024
95054	miRNA	mir-2778
95055	miRNA	mir-2778
95056	miRNA	mir-2778
71389	ykoK leader	ykoK
95050	miRNA	mir-2807
94335	snoRNA	alpha_tmRNA
95052	miRNA	mir-2778
95053	miRNA	mir-2778
95058	miRNA	mir-2778
89677	Riboswitch	SAM-I-IV-variant
89676	Riboswitch	SAM-I-IV-variant
89673	Riboswitch	SAM-I-IV-variant
89672	Riboswitch	SAM-I-IV-variant
9843	16S	16S
9842	16S	16S
9841	16S	16S
9840	16S	16S
9847	16S	16S
9846	16S	16S
9845	16S	16S
9844	16S	16S
9849	16S	16S
9848	16S	16S
75174	rncO	rncO
26438	tRNA	tRNA
26439	tRNA	tRNA
26430	tRNA	tRNA
26431	tRNA	tRNA
26432	tRNA	tRNA
26433	tRNA	tRNA
26434	tRNA	tRNA
26435	tRNA	tRNA
26436	tRNA	tRNA
26437	tRNA	tRNA
50240	tRNA	tRNA
101318	Ribosomal RNA	LSU_rRNA_bacteria
32408	tRNA	tRNA
32409	tRNA	tRNA
55409	23S	23S
55408	23S	23S
55407	23S	23S
55406	23S	23S
55405	23S	23S
55404	23S	23S
55403	23S	23S
55402	23S	23S
55401	23S	23S
55400	23S	23S
92910	cspA thermoregulator	cspA
92911	cspA thermoregulator	cspA
92912	cspA thermoregulator	cspA
17613	16S	16S
92914	Riboswitch	SMK_box_riboswitch
92915	Riboswitch	SMK_box_riboswitch
56178	tmRNA	tmRNA
56179	tmRNA	tmRNA
56176	tmRNA	tmRNA
56177	tmRNA	tmRNA
56174	tmRNA	tmRNA
56175	tmRNA	tmRNA
56172	tmRNA	tmRNA
56173	tmRNA	tmRNA
56170	tmRNA	tmRNA
56171	tmRNA	tmRNA
51234	tRNA	tRNA
51235	tRNA	tRNA
51236	tRNA	tRNA
51237	tRNA	tRNA
51230	tRNA	tRNA
51231	tRNA	tRNA
51232	tRNA	tRNA
51233	tRNA	tRNA
93067	RNA Fragment	RatA
93066	RNA Fragment	RsaOG
93065	RNA Fragment	RsaOG
93064	RNA Fragment	RsaOG
51238	tRNA	tRNA
51239	tRNA	tRNA
93061	RNA Fragment	RsaOG
93060	RNA Fragment	RsaOG
61141	RNA Fragment	RNaseP_bact_a
61140	RNA Fragment	RNaseP_bact_a
61143	RNA Fragment	RNaseP_bact_a
61142	RNA Fragment	RNaseP_bact_a
61145	RNA Fragment	RNaseP_bact_a
61144	RNA Fragment	RNaseP_bact_a
61147	RNA Fragment	RNaseP_bact_a
61146	RNA Fragment	RNaseP_bact_a
61149	RNA Fragment	RNaseP_bact_a
61148	RNA Fragment	RNaseP_bact_a
89271	SAM-Chlorobi RNA	SAM-Chlorobi
69970	snoRNA	SCARNA18
62893	Spliceosomal RNA	U6
54239	tRNA	tRNA
98321	Bacterial sRNA	STnc220
95810	Group II intron	group-II-D1D4-1
98323	Bacterial sRNA	STnc220
98322	Bacterial sRNA	STnc220
98325	Bacterial sRNA	STnc210
98324	Bacterial sRNA	STnc220
62890	Spliceosomal RNA	U6
98326	Bacterial sRNA	STnc210
98329	Bacterial sRNA	STnc180
98328	Bacterial sRNA	STnc180
54288	tRNA	tRNA
64469	snoRNA	SNORD73
64468	snoRNA	SNORD73
54238	tRNA	tRNA
64461	snoRNA	SNORD73
64460	snoRNA	SNORD73
64463	snoRNA	SNORD73
64462	snoRNA	SNORD73
64465	snoRNA	SNORD73
64464	snoRNA	SNORD73
64467	snoRNA	SNORD73
64466	snoRNA	SNORD73
94209	snoRNA	Plant_U3
96195	Group II intron	group-II-D1D4-3
36879	tRNA	tRNA
36878	tRNA	tRNA
36875	tRNA	tRNA
36874	tRNA	tRNA
36877	tRNA	tRNA
36876	tRNA	tRNA
36871	tRNA	tRNA
84667	Bacterial sRNA	IsrR
36873	tRNA	tRNA
36872	tRNA	tRNA
84666	Bacterial sRNA	IsrR
50976	tRNA	tRNA
33201	tRNA	tRNA
33200	tRNA	tRNA
33203	tRNA	tRNA
9061	16S	16S
9060	16S	16S
9063	16S	16S
9062	16S	16S
9065	16S	16S
9064	16S	16S
9067	16S	16S
9066	16S	16S
9069	16S	16S
9068	16S	16S
84668	Bacterial sRNA	IsrR
24050	tRNA	tRNA
24051	tRNA	tRNA
24052	tRNA	tRNA
24053	tRNA	tRNA
24054	tRNA	tRNA
24055	tRNA	tRNA
24056	tRNA	tRNA
24057	tRNA	tRNA
24058	tRNA	tRNA
24059	tRNA	tRNA
33206	tRNA	tRNA
22849	tRNA	tRNA
22848	tRNA	tRNA
22845	tRNA	tRNA
22844	tRNA	tRNA
22847	tRNA	tRNA
22846	tRNA	tRNA
22841	tRNA	tRNA
22840	tRNA	tRNA
22843	tRNA	tRNA
22842	tRNA	tRNA
10262	16S	16S
50971	tRNA	tRNA
20708	16S	16S
86877	C4 antisense RNA	C4
50972	tRNA	tRNA
10264	16S	16S
102054	RNA Fragment	IRES RNA 40-MER
102055	RNA Fragment	IRES RNA (28-MER)
102056	RNA Fragment	IRES RNA (67-MER)
102057	RNA Fragment	RNA (28-MER)
102050	RNA Fragment	RNA (5'-R(*GP*GP*UP*AP*GP*UP*UP*UP*UP*GP*GP*CP*AP*UP*GP*AP*CP*UP*CP*UP*AP*CP*C)-3')
102051	RNA Fragment	RNA (70-MER)
102052	RNA Fragment	IRES RNA (108-MER)
94484	tRNA	tRNA-Sec
102058	RNA Fragment	5'-R(*(PSU)P*CP*UP*CP*(OMG)P*(OMG)P*CP*CP*(PSU)P*UP*UP*UP*(OMG)P*GP*CP*UP*AP*AP*(OMG)P*A)-3'
102059	snoRNA	U2 snRNA
78613	miRNA	mir-450
78612	miRNA	mir-450
78611	miRNA	mir-450
78610	miRNA	mir-450
78617	miRNA	mir-450
78616	miRNA	mir-450
78615	miRNA	mir-450
78614	miRNA	mir-450
78619	miRNA	mir-450
78618	miRNA	mir-450
3153	16S	16S
3152	16S	16S
3151	16S	16S
3150	16S	16S
3157	16S	16S
3156	16S	16S
3155	16S	16S
3154	16S	16S
3159	16S	16S
3158	16S	16S
95812	Group II intron	group-II-D1D4-1
100342	Bacterial sRNA	SpF14_sRNA
27503	tRNA	tRNA
27502	tRNA	tRNA
27501	tRNA	tRNA
27500	tRNA	tRNA
27507	tRNA	tRNA
27506	tRNA	tRNA
27505	tRNA	tRNA
27504	tRNA	tRNA
10266	16S	16S
91037	glnA RNA	glnA
27509	tRNA	tRNA
27508	tRNA	tRNA
91032	glnA RNA	glnA
91033	glnA RNA	glnA
91030	glnA RNA	glnA
91031	glnA RNA	glnA
94486	tRNA	tRNA-Sec
66283	snoRNA	SNORD82
66282	snoRNA	SNORD82
66281	snoRNA	SNORD82
66280	snoRNA	SNORD82
66287	snoRNA	SNORD82
66286	snoRNA	SNORD82
66285	snoRNA	SNORD82
66284	snoRNA	SNORD82
66289	snoRNA	SNORD82
66288	snoRNA	SNORD82
94487	tRNA	tRNA-Sec
10268	16S	16S
94480	tRNA	tRNA-Sec
29156	tRNA	tRNA
29157	tRNA	tRNA
29154	tRNA	tRNA
29155	tRNA	tRNA
29152	tRNA	tRNA
29153	tRNA	tRNA
29150	tRNA	tRNA
29151	tRNA	tRNA
29158	tRNA	tRNA
29159	tRNA	tRNA
23330	tRNA	tRNA
23331	tRNA	tRNA
23332	tRNA	tRNA
23333	tRNA	tRNA
23334	tRNA	tRNA
23335	tRNA	tRNA
23336	tRNA	tRNA
23337	tRNA	tRNA
23338	tRNA	tRNA
23339	tRNA	tRNA
94481	tRNA	tRNA-Sec
42302	tRNA	tRNA
42303	tRNA	tRNA
42308	tRNA	tRNA
42309	tRNA	tRNA
47140	tRNA	tRNA
24343	tRNA	tRNA
15222	16S	16S
100148	snoRNA	snoR124
22063	tRNA	tRNA
22062	tRNA	tRNA
22061	tRNA	tRNA
22060	tRNA	tRNA
22067	tRNA	tRNA
22066	tRNA	tRNA
22065	tRNA	tRNA
22064	tRNA	tRNA
22069	tRNA	tRNA
22068	tRNA	tRNA
15226	16S	16S
31935	tRNA	tRNA
31934	tRNA	tRNA
31937	tRNA	tRNA
31936	tRNA	tRNA
31931	tRNA	tRNA
77709	miRNA	mir-31
31933	tRNA	tRNA
31932	tRNA	tRNA
77704	miRNA	mir-31
